"","Family","Genus","Species","Diameter","POM.Height","Sampling.Period","X1ha.Plot.X.Coordinate","X1ha.Plot.Y.Coordinate","X1ha.Plot.Number","Gen_sp","Year","density","biomass","carbon"
"1","Putranjivaceae","Drypetes","standleyi",35.8,1.3,2010.01,97.7,68.1,"VG-BCI-1","Drypetes_standleyi","2010",0.706952380952381,1342.79155207994,671.39577603997
"2","Burseraceae","Protium","tenuifolium",32,1.3,2010.01,80.8,81,"VG-BCI-1","Protium_tenuifolium","2010",0.575724137931034,820.463410936428,410.231705468214
"3","Myristicaceae","Virola","surinamensis",57.7,1.3,2010.01,92,88.7,"VG-BCI-1","Virola_surinamensis","2010",0.473015873015873,2960.87109138915,1480.43554569458
"4","Myristicaceae","Virola","surinamensis",28,1.3,2010.01,94.1,82.6,"VG-BCI-1","Virola_surinamensis","2010",0.473015873015873,477.568533391164,238.784266695582
"6","Malvaceae","Sterculia","recordiana",34.7,1.3,2010.01,94.3,48.9,"VG-BCI-1","Sterculia_recordiana","2010",0.426569620253165,748.179809039801,374.089904519901
"7","Burseraceae","Tetragastris","panamensis",38.1,1.3,2010.01,88.1,61,"VG-BCI-1","Tetragastris_panamensis","2010",0.7103,1580.72850378265,790.364251891323
"8","Meliaceae","Trichilia","tuberculata",20.8,1.3,2010.01,80.8,63.9,"VG-BCI-1","Trichilia_tuberculata","2010",0.63409756097561,294.612832669271,147.306416334635
"9","Lauraceae","Beilschmiedia","pendula",32.3,1.3,2010.01,80.6,64.9,"VG-BCI-1","Beilschmiedia_pendula","2010",0.573984848484848,837.834172152017,418.917086076009
"10","Putranjivaceae","Drypetes","standleyi",22,1.3,2010.01,83.9,68.5,"VG-BCI-1","Drypetes_standleyi","2010",0.706952380952381,380.568573635748,190.284286817874
"11","Polygonaceae","Coccoloba","padiformis",21.1,1.3,2010.01,86,72.7,"VG-BCI-1","Coccoloba_padiformis","2010",0.687333333333333,331.590723972327,165.795361986164
"12","Apocynaceae","Lacmellea","panamensis",12.9,1.3,2010.01,85.7,79.1,"VG-BCI-1","Lacmellea_panamensis","2010",0.5048,66.2927060692554,33.1463530346277
