"","Family","Genus","Species","Diameter","POM.Height","Sampling.Period","X1ha.Plot.X.Coordinate","X1ha.Plot.Y.Coordinate","X1ha.Plot.Number","Gen_sp","Year","density","biomass","carbon"
"1","Fagaceae","Castanopsis","megacarpa",17.8,1.3,2012.01,2.1436143,0.49489233,"VG-PSH-1","Castanopsis_megacarpa","2012",0.549782608695652,169.454131896581,84.7270659482906
"2","Dipterocarpaceae","Dipterocarpus","cornutus",34,1.3,2012.01,2.1190743,1.1267318,"VG-PSH-1","Dipterocarpus_cornutus","2012",0.645411111111111,1074.52068849768,537.26034424884
"4","Dipterocarpaceae","Shorea","lepidota",40.1,1.3,2012.01,3.211827,3.5670953,"VG-PSH-1","Shorea_lepidota","2012",0.571128712871287,1446.86027622829,723.430138114145
"5","Fagaceae","Quercus","argentata",18.9,1.3,2012.01,2.2356927,4.5838494,"VG-PSH-1","Quercus_argentata","2012",0.700736842105263,253.010335249089,126.505167624544
"6","Dipterocarpaceae","Shorea","bracteolata",18.3,1.3,2012.01,0.4553228,8.688077,"VG-PSH-1","Shorea_bracteolata","2012",0.571128712871287,189.390859831252,94.6954299156259
"7","Anacardiaceae","Parishia","insignis",37.7,2.8,2012.01,9.743353,7.342143,"VG-PSH-1","Parishia_insignis","2012",0.53,1148.29478221184,574.147391105919
"8","Annonaceae","Alphonsea","maingayi",10.9,1.3,2012.01,10.569185,8.558758,"VG-PSH-1","Alphonsea_maingayi","2012",0.738,61.9550043373079,30.977502168654
"9","Burseraceae","Canarium","littorale",16.6,1.3,2012.01,11.684322,5.698825,"VG-PSH-1","Canarium_littorale","2012",0.482408602150538,123.636356394603,61.8181781973014
"10","Fagaceae","Lithocarpus","curtisii",28.8,1.3,2012.01,11.234925,5.4796395,"VG-PSH-1","Lithocarpus_curtisii","2012",0.668292307692308,725.782185649852,362.891092824926
"11","Anacardiaceae","Pentaspadon","motleyi",34.4,1.9,2012.01,12.150155,5.4095974,"VG-PSH-1","Pentaspadon_motleyi","2012",0.5725,982.087378069437,491.043689034719
"12","Dipterocarpaceae","Shorea","bracteolata",12.9,1.3,2012.01,13.333793,2.1118653,"VG-PSH-1","Shorea_bracteolata","2012",0.571128712871287,75.0033040611893,37.5016520305947
"13","Burseraceae","Dacryodes","rugosa",24.2,1.3,2012.01,33.590347,2.396345,"VG-PSH-1","Dacryodes_rugosa","2012",0.563279661016949,389.122735773098,194.561367886549
"14","Myristicaceae","Knema","conferta",14.9,1.3,2012.01,17.21072,-5.9816313,"VG-PSH-1","Knema_conferta","2012",0.533315789473684,102.668466701815,51.3342333509077
"15","Sterculiaceae","Scaphium","macropodum",19.5,1.3,2012.01,16.755322,-9.9860935,"VG-PSH-1","Scaphium_macropodum","2012",0.50375,197.499680925472,98.7498404627361
"16","Dipterocarpaceae","Shorea","maxwelliana",25.5,1.3,2012.01,16.433065,-11.666918,"VG-PSH-1","Shorea_maxwelliana","2012",0.571128712871287,452.232784203427,226.116392101714
"17","Dipterocarpaceae","Dipterocarpus","cornutus",57.2,1.3,2012.01,16.738209,-14.1283655,"VG-PSH-1","Dipterocarpus_cornutus","2012",0.645411111111111,3955.04134718136,1977.52067359068
"18","Dipterocarpaceae","Dipterocarpus","cornutus",24,2.04,2012.01,10.451173,-2.2045205,"VG-PSH-1","Dipterocarpus_cornutus","2012",0.645411111111111,436.300603756283,218.150301878142
"19","Dipterocarpaceae","Dipterocarpus","costulatus",37.8,1.3,2012.01,13.879246,-2.7251353,"VG-PSH-1","Dipterocarpus_costulatus","2012",0.645411111111111,1407.78354826794,703.891774133971
"21","Burseraceae","Canarium","littorale",14.6,1.3,2012.01,7.737049,13.507845,"VG-PSH-1","Canarium_littorale","2012",0.482408602150538,87.9923552065747,43.9961776032874
"22","Lecythidaceae","Barringtonia","macrostachya",10.2,1.3,2012.01,7.188569,17.240566,"VG-PSH-1","Barringtonia_macrostachya","2012",0.487052631578947,34.2807214948773,17.1403607474386
"23","Guttiferae","Calophyllum","macrocarpum",16.5,1.3,2012.01,1.1257731,14.2084,"VG-PSH-1","Calophyllum_macrocarpum","2012",0.575632911392405,145.188932729562,72.5944663647811
"25","Fagaceae","Quercus","argentata",16.8,1.3,2012.01,3.212028,24.587252,"VG-PSH-1","Quercus_argentata","2012",0.700736842105263,185.372456043603,92.6862280218015
"26","Fabaceae","Adenanthera","malayana",14.2,1.3,2012.01,4.95154,23.731253,"VG-PSH-1","Adenanthera_malayana","2012",0.706384615384615,119.693310114127,59.8466550570633
"27","Dipterocarpaceae","Shorea","ochrophloia",12.8,1.3,2012.01,7.0309033,20.988129,"VG-PSH-1","Shorea_ochrophloia","2012",0.571128712871287,73.4692397286655,36.7346198643327
"28","Burseraceae","Dacryodes","rugosa",15.1,1.3,2012.01,3.3809462,27.250462,"VG-PSH-1","Dacryodes_rugosa","2012",0.563279661016949,112.338159477681,56.1690797388404
"29","Dipterocarpaceae","Shorea","maxwelliana",10,1.3,2012.01,4.6477685,28.74118,"VG-PSH-1","Shorea_maxwelliana","2012",0.571128712871287,38.1397940310489,19.0698970155245
"30","Fagaceae","Castanopsis","megacarpa",31.1,1.3,2012.01,12.543663,11.113884,"VG-PSH-1","Castanopsis_megacarpa","2012",0.549782608695652,728.050485128867,364.025242564433
"31","Dipterocarpaceae","Shorea","macroptera",33.2,1.3,2012.01,10.171851,16.02917,"VG-PSH-1","Shorea_macroptera","2012",0.571128712871287,894.585032106851,447.292516053426
"32","Lecythidaceae","Barringtonia","macrostachya",11.9,1.3,2012.01,11.267339,17.822702,"VG-PSH-1","Barringtonia_macrostachya","2012",0.487052631578947,51.6239528887528,25.8119764443764
"33","Fagaceae","Quercus","argentata",16.4,1.3,2012.01,12.694411,17.905155,"VG-PSH-1","Quercus_argentata","2012",0.700736842105263,173.922769793731,86.9613848968657
"34","Dipterocarpaceae","Dipterocarpus","sublamellatus",42.2,1.3,2012.01,17.320763,17.906752,"VG-PSH-1","Dipterocarpus_sublamellatus","2012",0.645411111111111,1859.68824150632,929.84412075316
"35","Lauraceae","Cryptocarya","rugulosa",14,1.3,2012.01,16.532753,17.29109,"VG-PSH-1","Cryptocarya_rugulosa","2012",0.578344827586207,94.3780076413976,47.1890038206988
"36","Myrtaceae","Syzygium","duthieanum",10.3,1.3,2012.01,16.726408,16.489502,"VG-PSH-1","Syzygium_duthieanum","2012",0.649078431372549,46.8835197640036,23.4417598820018
"37","Fabaceae","Intsia","palembanica",14.2,1.3,2012.01,19.171288,13.250686,"VG-PSH-1","Intsia_palembanica","2012",0.694823529411765,117.73434240947,58.8671712047351
"38","Fagaceae","Castanopsis","megacarpa",10.2,1.3,2012.01,18.367706,30.742807,"VG-PSH-1","Castanopsis_megacarpa","2012",0.549782608695652,38.6959093729233,19.3479546864617
"39","Fagaceae","Quercus","gemelliflora",13.2,1.3,2012.01,14.326835,35.40596,"VG-PSH-1","Quercus_gemelliflora","2012",0.700736842105263,97.8163680721059,48.908184036053
