"","Family","Genus","Species","Diameter","POM.Height","Sampling.Period","X1ha.Plot.X.Coordinate","X1ha.Plot.Y.Coordinate","X1ha.Plot.Number","Gen_sp","Year","density","biomass","carbon"
"1","Fabaceae","Swartzia","arborescens",29.6,1.3,2012.01,8.06,0.28,"VG-YAS-1","Swartzia_arborescens","2012",0.841516129032258,980.987928458604,490.493964229302
"2","Lecythidaceae","Eschweilera","coriacea",20.6,1.3,2012.01,4.33,4.09,"VG-YAS-1","Eschweilera_coriacea","2012",0.828119402985075,375.110506014465,187.555253007232
"3","Burseraceae","Protium","sagotianum",25.7,1.3,2012.01,3,2.59,"VG-YAS-1","Protium_sagotianum","2012",0.575724137931034,465.240962662179,232.62048133109
"4","Meliaceae","Guarea","pterorhachis",18.2,1.3,2012.01,0.81,9.92,"VG-YAS-1","Guarea_pterorhachis","2012",0.560384615384615,183.15991042225,91.5799552111248
"5","Fabaceae","Inga","heterophylla",35.9,3.5,2012.01,1.6,8.53,"VG-YAS-1","Inga_heterophylla","2012",0.579769230769231,1109.07907648356,554.539538241781
"6","Myristicaceae","Virola","elongata",14.4,1.3,2012.01,9.35,5.35,"VG-YAS-1","Virola_elongata","2012",0.473015873015873,83.1797480707285,41.5898740353642
"7","Urticaceae","Pourouma","hispida",25.1,1.3,2012.01,16.68,2.07,"VG-YAS-1","Pourouma_hispida","2012",0.38625,293.497990654613,146.748995327306
"8","Urticaceae","Cecropia","ficifolia",14.6,1.3,2012.01,15.17,0.99,"VG-YAS-1","Cecropia_ficifolia","2012",0.340379310344828,62.0859102580528,31.0429551290264
"9","Lecythidaceae","Grias","neuberthii",18.1,1.3,2012.01,11.35,2.58,"VG-YAS-1","Grias_neuberthii","2012",0.62,199.719059349046,99.8595296745232
"10","Fabaceae","Pterocarpus","rohrii",11.8,1.3,2012.01,11.91,9.02,"VG-YAS-1","Pterocarpus_rohrii","2012",0.587155172413793,60.8545638486918,30.4272819243459
"11","Urticaceae","Cecropia","sciadophylla",38.6,4.1,2012.01,14.31,6.29,"VG-YAS-1","Cecropia_sciadophylla","2012",0.340379310344828,782.964512999292,391.482256499646
"12","Fabaceae","Inga","capitata",11.5,1.3,2012.01,14.43,8.22,"VG-YAS-1","Inga_capitata","2012",0.579769230769231,56.1160465871206,28.0580232935603
"13","Lecythidaceae","Eschweilera","coriacea",25.2,1.3,2012.01,18.18,8.73,"VG-YAS-1","Eschweilera_coriacea","2012",0.828119402985075,635.814422459507,317.907211229753
"14","Lecythidaceae","Gustavia","longifolia",10.9,1.3,2012.01,13.76,12.44,"VG-YAS-1","Gustavia_longifolia","2012",0.641416666666667,53.8468460235162,26.9234230117581
"15","Arecaceae","Astrocaryum","chambira",23.3,1.3,2012.01,11.07,13.97,"VG-YAS-1","Astrocaryum_chambira","2012",0.508,317.83996444461,158.919982222305
"16","Arecaceae","Iriartea","deltoidea",19.2,1.8,2012.01,11.75,17,"VG-YAS-1","Iriartea_deltoidea","2012",0.267,100.489983321778,50.2449916608889
"17","Lecythidaceae","Eschweilera","coriacea",40.6,3.7,2012.01,13.81,18.84,"VG-YAS-1","Eschweilera_coriacea","2012",0.828119402985075,2164.61633148489,1082.30816574244
"18","Meliaceae","Guarea","silvatica",11.5,1.3,2012.01,15.62,17,"VG-YAS-1","Guarea_silvatica","2012",0.560384615384615,54.2398035540896,27.1199017770448
"20","Myristicaceae","Virola","flexuosa",10.1,1.3,2012.01,19.05,11.38,"VG-YAS-1","Virola_flexuosa","2012",0.473015873015873,32.4332833102126,16.2166416551063
"21","Moraceae","Pseudolmedia","laevis",11.9,1.3,2012.01,1.4,11.31,"VG-YAS-1","Pseudolmedia_laevis","2012",0.64444,68.3058422080105,34.1529211040052
"23","Myristicaceae","Virola","duckei",10.7,1.3,2012.01,1.67,23.09,"VG-YAS-1","Virola_duckei","2012",0.473015873015873,37.8038359052134,18.9019179526067
"24","Meliaceae","Guarea","pterorhachis",12.6,1.3,2012.01,0.19,23.88,"VG-YAS-1","Guarea_pterorhachis","2012",0.560384615384615,69.1344527382245,34.5672263691122
"25","Sapotaceae","Pouteria","trilocularis",53.4,5,2012.01,6.95,29.93,"VG-YAS-1","Pouteria_trilocularis","2012",0.714372222222222,3698.5865494633,1849.29327473165
"26","Myristicaceae","Otoba","glycycarpa",12.9,1.3,2012.01,8.47,29.9,"VG-YAS-1","Otoba_glycycarpa","2012",0.408928571428571,53.7024199465824,26.8512099732912
"27","Myristicaceae","Otoba","glycycarpa",32.7,1.3,2012.01,9.61,23.44,"VG-YAS-1","Otoba_glycycarpa","2012",0.408928571428571,616.069227080044,308.034613540022
"30","Arecaceae","Iriartea","deltoidea",18.3,1.3,2012.01,10.21,24.14,"VG-YAS-1","Iriartea_deltoidea","2012",0.267,88.5393404942335,44.2696702471168
"31","Arecaceae","Iriartea","deltoidea",14.7,1.3,2012.01,12.78,26.86,"VG-YAS-1","Iriartea_deltoidea","2012",0.267,49.5909678591073,24.7954839295536
"32","Myristicaceae","Otoba","glycycarpa",25.6,1.3,2012.01,13.07,27.48,"VG-YAS-1","Otoba_glycycarpa","2012",0.408928571428571,327.116387502874,163.558193751437
"33","Rubiaceae","Alseis","lugonis",12.7,1.3,2012.01,19.26,24.45,"VG-YAS-1","Alseis_lugonis","2012",0.643,81.0096697096073,40.5048348548037
"34","Lecythidaceae","Grias","neuberthii",19.7,1.3,2012.01,12.63,30.12,"VG-YAS-1","Grias_neuberthii","2012",0.62,249.6971985893,124.84859929465
"35","Urticaceae","Pourouma","bicolor",23.4,1.3,2012.01,12.17,33.39,"VG-YAS-1","Pourouma_bicolor","2012",0.38625,244.386980344154,122.193490172077
"37","Cannabaceae","Celtis","schippii",19,1.3,2012.01,10.73,34.36,"VG-YAS-1","Celtis_schippii","2012",0.593830508474576,217.41415248626,108.70707624313
"41","Malvaceae","Apeiba","membranacea",56.6,1.3,2012.01,18.89,37.39,"VG-YAS-1","Apeiba_membranacea","2012",0.278333333333333,1662.20993518226,831.104967591129
"42","Myristicaceae","Otoba","glycycarpa",11.8,1.3,2012.01,18.85,36.57,"VG-YAS-1","Otoba_glycycarpa","2012",0.408928571428571,42.3826120057011,21.1913060028506
"43","Moraceae","Brosimum","lactescens",46.1,2,2012.01,18.15,33.56,"VG-YAS-1","Brosimum_lactescens","2012",0.670818181818182,2412.3677569478,1206.1838784739
"46","Moraceae","Pseudolmedia","laevis",18.7,1.3,2012.01,0.9,37.25,"VG-YAS-1","Pseudolmedia_laevis","2012",0.64444,226.246735833468,113.123367916734
"47","Arecaceae","Astrocaryum","chambira",20.7,1.3,2012.01,2.21,39.93,"VG-YAS-1","Astrocaryum_chambira","2012",0.508,233.055011416909,116.527505708454
"48","Myristicaceae","Iryanthera","juruensis",14.4,1.3,2012.01,3.39,39.21,"VG-YAS-1","Iryanthera_juruensis","2012",0.597423076923077,105.05673036565,52.5283651828248
"49","Meliaceae","Guarea","pterorhachis",11.2,1.3,2012.01,7.46,37.68,"VG-YAS-1","Guarea_pterorhachis","2012",0.560384615384615,50.5620987239792,25.2810493619896
"50","Fabaceae","Inga","thibaudiana",25.6,2,2012.01,1.88,41.98,"VG-YAS-1","Inga_thibaudiana","2012",0.579769230769231,463.777856587547,231.888928293774
"51","Fabaceae","Inga","auristellae",10.6,1.3,2012.01,9.18,47.81,"VG-YAS-1","Inga_auristellae","2012",0.579769230769231,45.194540720629,22.5972703603145
"52","Moraceae","Naucleopsis","krukovii",26.3,1.3,2012.01,8.76,47.23,"VG-YAS-1","Naucleopsis_krukovii","2012",0.6505,558.199757646996,279.099878823498
"53","Malvaceae","Matisia","malacocalyx",10.8,1.3,2012.01,9,43.23,"VG-YAS-1","Matisia_malacocalyx","2012",0.484777777777778,39.7129365745284,19.8564682872642
"55","Siparunaceae","Siparuna","decipiens",12.7,1.3,2012.01,10.62,44.78,"VG-YAS-1","Siparuna_decipiens","2012",0.6562,82.6726986989803,41.3363493494902
"58","Myrtaceae","Eugenia","florida",10.4,1.3,2012.01,18.69,49.36,"VG-YAS-1","Eugenia_florida","2012",0.727726315789474,53.9302262513062,26.9651131256531
"59","Malvaceae","Sterculia","frondosa",18.5,1.3,2012.01,19.5,46.61,"VG-YAS-1","Sterculia_frondosa","2012",0.426569620253165,145.569800791759,72.7849003958796
"60","Moraceae","Pseudolmedia","laevis",14.2,1.3,2012.01,15.44,44.81,"VG-YAS-1","Pseudolmedia_laevis","2012",0.64444,109.19710748223,54.5985537411151
"61","Malvaceae","Matisia","malacocalyx",12.7,1.3,2012.01,17.37,44.11,"VG-YAS-1","Matisia_malacocalyx","2012",0.484777777777778,61.0757195339583,30.5378597669792
"62","Sapotaceae","Micropholis","venulosa",10.5,1.3,2012.01,16.83,51.61,"VG-YAS-1","Micropholis_venulosa","2012",0.649592592592593,49.3787973984993,24.6893986992496
"63","Myristicaceae","Otoba","glycycarpa",16.1,1.3,2012.01,11.85,50.95,"VG-YAS-1","Otoba_glycycarpa","2012",0.408928571428571,96.6552914230347,48.3276457115173
"64","Malvaceae","Theobroma","speciosum",18.5,4,2012.01,11.58,51.12,"VG-YAS-1","Theobroma_speciosum","2012",0.529714285714286,180.768623424738,90.3843117123688
"65","Malvaceae","Matisia","malacocalyx",20.8,1.7,2012.01,11.42,55.47,"VG-YAS-1","Matisia_malacocalyx","2012",0.484777777777778,225.236246148751,112.618123074376
"66","Sapotaceae","Pouteria","vernicosa",22.9,1.3,2012.01,11.25,56.16,"VG-YAS-1","Pouteria_vernicosa","2012",0.714372222222222,427.1591724902,213.5795862451
"67","Malvaceae","Theobroma","speciosum",16.2,1.3,2012.01,13.1,58.49,"VG-YAS-1","Theobroma_speciosum","2012",0.529714285714286,127.27375264433,63.6368763221652
"68","Meliaceae","Guarea","kunthiana",16.2,1.3,2012.01,17.65,54.61,"VG-YAS-1","Guarea_kunthiana","2012",0.560384615384615,134.642872294781,67.3214361473905
"69","Lauraceae","Beilschmiedia","pendula",44.7,1.8,2012.01,17.32,54.28,"VG-YAS-1","Beilschmiedia_pendula","2012",0.573984848484848,1910.95456994423,955.477284972113
"70","Malvaceae","Matisia","malacocalyx",10.4,1.3,2012.01,8.27,51.11,"VG-YAS-1","Matisia_malacocalyx","2012",0.484777777777778,35.9258345753218,17.9629172876609
"71","Siparunaceae","Siparuna","decipiens",17.2,2.4,2012.01,3.69,52.48,"VG-YAS-1","Siparuna_decipiens","2012",0.6562,184.734782884961,92.3673914424806
"72","Fabaceae","Brownea","grandiceps",12.4,1.3,2012.01,3.02,50.91,"VG-YAS-1","Brownea_grandiceps","2012",1.21,143.066645312093,71.5333226560466
"74","Malvaceae","Matisia","malacocalyx",20.5,0.8,2012.01,7.26,53.92,"VG-YAS-1","Matisia_malacocalyx","2012",0.484777777777778,216.796674820927,108.398337410464
"75","Myristicaceae","Virola","dixonii",10.6,1.3,2012.01,5.45,61.81,"VG-YAS-1","Virola_dixonii","2012",0.473015873015873,36.8728349142572,18.4364174571286
