"","BUC","CAN","EVE","OLD","FOS","MOU","AMW","BAR","HIL","HOL","HOM","JUN","LAV","LAW","PRK","QUA","ROO","ROY","US2","VAN","ZIO","CEM","WES","CAR"
"Agapostemon_virescens",0.005,0.015,0.00625,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_wilkella",0,0,0,0,0.00555555555555556,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Augochlora_pura",0.015,0.01,0.2,0.025,0,0.03,0.005,0.085,0.0166666666666667,0.00833333333333333,0.00714285714285714,0.0875,0.0375,0.015,0.0125,0.05625,0.00625,0.035,0.04375,0.00625,0.05,0,0,0
"Augochlorella_aurata",0.01,0.02,0.04375,0,0.0666666666666667,0.015,0,0.015,0.0333333333333333,0.0166666666666667,0,0,0.075,0.065,0.0125,0.1375,0.03125,0.005,0.0125,0.00625,0.01,0.005,0.0333333333333333,0
"Augochloropsis_metallica",0,0,0.00625,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0.00625,0,0,0,0,0,0,0
"Bombus_bimaculatus",0.005,0.025,0.0125,0.03125,0.0444444444444444,0.06,0.045,0.02,0.0416666666666667,0.0416666666666667,0.0285714285714286,0.04375,0.00625,0.03,0.00625,0.01875,0.10625,0.005,0.00625,0.025,0.04,0.03,0.0416666666666667,0.00833333333333333
"Bombus_fervidus",0.05,0.005,0.00625,0.00625,0.0333333333333333,0.005,0.005,0.005,0.025,0.0166666666666667,0,0.0125,0,0.005,0.0125,0.01875,0,0.005,0,0,0.005,0,0.00833333333333333,0.0166666666666667
"Bombus_griseocollis",0.015,0.035,0.0125,0.1125,0.0222222222222222,0.09,0.015,0.09,0.0916666666666667,0.0666666666666667,0.0714285714285714,0.1,0.0375,0.075,0.01875,0.05,0.0875,0.035,0.125,0.03125,0.17,0.115,0.158333333333333,0.0291666666666667
"Bombus_impatiens",0.06,0.1,0.06875,0.1,0.0388888888888889,0.08,0.22,0.1,0.0333333333333333,0.00833333333333333,0.0285714285714286,0.35625,0.05625,0.045,0.01875,0.05,0.09375,0.115,0.06875,0.025,0.18,0.06,0.0666666666666667,0.0208333333333333
"Bombus_impatiens_seeTN",0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus_perplexus",0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0
"Bombus_vagans",0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratina_calcarata",0.06,0.78,0.35,0.0375,0.105555555555556,0.38,0.04,0.13,0.158333333333333,0.708333333333333,0.821428571428571,0.2875,0.9,0.515,0.45,0.1625,0.20625,0.405,0.25625,0.91875,0.23,0.03,0.0916666666666667,0.0125
"Ceratina_dupla",0.05,0.02,0.0375,0.01875,0.0222222222222222,0.045,0.04,0.03,0.05,0.075,0.1,0.075,0.075,0.09,0.0625,0.0375,0.04375,0.045,0.04375,0.125,0.02,0,0.0333333333333333,0
"Ceratina_mikmaqi",0.03,0,0,0,0,0,0.005,0,0.0166666666666667,0.025,0,0.00625,0.0125,0.005,0.00625,0,0,0.005,0,0,0.005,0,0,0.0125
"Ceratina_strenua",0.12,0.14,0.06875,0.1125,0.0222222222222222,0.015,0.01,0.04,0.283333333333333,0.383333333333333,0.157142857142857,0.1125,0.04375,0.275,0.14375,0.11875,0.01875,0.025,0.01875,0.51875,0.005,0.04,0.0666666666666667,0
"Coelioxys_sayi",0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0.005,0,0,0,0,0,0
"Colletes_nudus",0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus_confusus",0,0.005,0.0125,0.00625,0.00555555555555556,0,0.025,0,0.00833333333333333,0,0,0.025,0,0,0,0.00625,0.075,0,0.00625,0,0.005,0,0.00833333333333333,0
"Halictus_ligatus",0.04,0.015,0,0,0,0.01,0.095,0.025,0.0583333333333333,0.025,0.00714285714285714,0.0375,0,0.005,0,0.00625,0.04375,0,0.01875,0,0,0.03,0.0333333333333333,0
"Halictus_rubicundus",0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0.005,0,0
"Heriades_carinata",0.01,0.025,0.0125,0.0625,0.0388888888888889,0.145,0,0.07,0.0166666666666667,0,0.0214285714285714,0.1,0.0375,0.02,0.00625,0.11875,0,0.01,0.075,0.00625,0.02,0,0.025,0
"Heriades_variolosus",0,0.005,0,0,0.00555555555555556,0.03,0,0.02,0,0,0.0142857142857143,0.01875,0,0,0,0.01875,0.0125,0,0,0.0125,0.005,0,0.00833333333333333,0
"Hoplitis_pilosifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
"Hoplitis_producta",0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
"Hylaeus_affinis",0,0,0,0,0,0,0.005,0,0,0,0,0,0.00625,0.005,0,0,0,0,0,0.00625,0,0,0,0
