"","CAN","CEM","FOS","LAV","LAW","OLD","QUA","ROO","ROY","WES","ZIO","HIL","HOL","JUN","MOU","AMW","BAR","BUC","EVE","PRK","US2","CAR","HOM","VAN"
"Agapostemon_virescens",0.005,0.005,0.005,0.005,0.01,0.01,0.005,0.015,0.015,0.015,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_cressonii",0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_imitatrix",0,0,0,0,0,0,0,0,0,0,0,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_wilkella",0.005,0,0,0.005,0,0.005,0,0,0,0,0,0,0.005,0.005,0.04,0,0,0,0,0,0,0,0,0
"Augochlora_pura",0,0.005,0,0.005,0.01,0,0.005,0,0,0.005,0,0,0.005,0.005,0.005,0.0125,0.01,0.01,0.02,0.01,0.005,0,0,0
"Augochlorella_aurata",0,0.01,0.015,0.01,0.005,0,0.02,0.02,0,0.005,0,0,0,0.005,0.01,0.0208333333333333,0,0,0.005,0.005,0.005,0,0,0
"Augochloropsis_metallica",0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus_bimaculatus",0.03,0.03,0.06,0.055,0.045,0.03,0.025,0.165,0,0.035,0.0208333333333333,0.0125,0.005,0.05,0.01,0.0208333333333333,0.01,0.04,0,0.075,0.015,0.0125,0.01,0.01
"Bombus_fervidus",0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus_griseocollis",0.015,0,0.015,0.015,0.03,0.01,0,0.02,0.015,0.005,0.0125,0.00833333333333333,0.01,0.025,0.005,0.00416666666666667,0.08,0.005,0.01,0,0.01,0,0,0.005
"Bombus_impatiens",0,0,0.005,0,0.005,0.005,0,0.03,0.02,0,0.00416666666666667,0,0,0.025,0,0,0,0,0,0,0.005,0,0.005,0
"Bombus_perplexus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
"Ceratina_calcarata",0.095,0.055,0.08,0.19,0.145,0.1,0.2,0.05,0.165,0.03,0.0416666666666667,0.0166666666666667,0.095,0.125,0.07,0.141666666666667,0.04,0.04,0.075,0.265,0.165,0.00833333333333333,0.1,0.455
"Ceratina_dupla",0,0.055,0.03,0.07,0.1,0.065,0.07,0.015,0.01,0.025,0.0333333333333333,0.0625,0.045,0.12,0,0.0833333333333333,0.02,0.135,0.01,0.035,0.04,0.05,0.045,0.105
"Ceratina_mikmaqi",0,0.04,0,0.025,0.005,0.01,0.02,0,0.02,0.005,0.00833333333333333,0.00416666666666667,0.025,0.035,0,0.00416666666666667,0.01,0.07,0,0.005,0.105,0.0208333333333333,0,0.025
"Ceratina_strenua",0.02,0.22,0.145,0.18,0.395,0.155,0.36,0.01,0.195,0.21,0.025,0.733333333333333,0.03,0.25,0,0.0666666666666667,0.02,0.215,0.085,0.09,0.185,0,0.095,0.3
"Ceratina_strenua_seeTN",0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coelioxys_porterae",0,0,0,0,0,0,0,0,0,0,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus_confusus",0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus_ligatus",0,0.06,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
"Halictus_rubicundus",0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heriades_carinata",0.005,0.005,0.01,0.01,0.005,0,0.02,0.005,0.02,0,0,0,0,0,0,0,0.005,0,0.015,0,0,0,0,0.005
"Heriades_leavitti",0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heriades_variolosus",0.02,0.015,0.02,0.005,0,0,0.01,0,0.01,0.03,0,0,0.01,0,0.015,0,0.02,0,0,0.01,0,0,0.025,0.015
"Hoplitis_pilosifrons",0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0.075,0.01,0.005,0,0.005,0.01,0,0,0.005,0.00833333333333333,0,0
"Hoplitis_producta",0,0.005,0,0.02,0.01,0.03,0.02,0,0.04,0,0.025,0.0125,0.005,0.015,0.02,0,0.01,0.01,0,0.005,0.02,0.00416666666666667,0.005,0
"Hoplitis_spoliata",0,0.005,0.005,0,0.01,0.01,0.025,0,0,0,0.00833333333333333,0.00833333333333333,0,0,0,0,0,0,0,0,0.005,0.00416666666666667,0,0
"Hylaeus_affinis",0,0.03,0.015,0.03,0.03,0.015,0.19,0,0.02,0.015,0,0.0541666666666667,0.12,0.005,0.005,0.0166666666666667,0.03,0.045,0,0.005,0.08,0.0166666666666667,0.005,0.01
"Hylaeus_affinis_modestus",0.005,0.005,0.02,0.015,0,0.01,0.06,0,0.01,0.01,0,0.00416666666666667,0.01,0.005,0,0.00416666666666667,0.015,0.02,0,0,0.015,0,0,0.005
"Hylaeus_mesillae",0,0.035,0.01,0.03,0.035,0.02,0.075,0,0.03,0.02,0,0.0208333333333333,0.015,0,0,0,0.02,0.05,0,0.005,0.075,0.00416666666666667,0.005,0.02
"Hylaeus_modestus",0,0,0.01,0.035,0,0.005,0.055,0,0.04,0,0.00416666666666667,0,0.01,0.005,0,0.0125,0.005,0.01,0.015,0.005,0.02,0,0,0.01
"Hylaeus_sparsus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
"Lasioglossum_abanci",0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.005,0,0,0,0.005,0.01,0,0,0,0
"Lasioglossum_admirandum",0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_atwoodi",0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0
"Lasioglossum_callidum",0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.01,0,0,0,0,0,0
"Lasioglossum_coeruleum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
"Lasioglossum_coriaceum",0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_cressonii",0,0.005,0,0,0,0,0,0,0.01,0,0,0,0,0.005,0,0,0.005,0,0,0,0,0,0,0
"Lasioglossum_ephialtum",0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_foxii",0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,0.01,0,0,0,0.01,0,0,0
"Lasioglossum_gotham",0.005,0,0,0,0,0.015,0.015,0,0,0,0.00416666666666667,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0
"Lasioglossum_gotham_seeTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_hitchensi",0.01,0.02,0.05,0.035,0.015,0.02,0.015,0,0,0.01,0,0.00416666666666667,0.055,0.005,0.015,0.0375,0.025,0.02,0,0.01,0,0.00416666666666667,0.01,0.035
"Lasioglossum_hitchensi_weemsi",0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_illinoense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416666666666667,0,0,0,0,0,0,0,0
"Lasioglossum_imitatum",0,0.235,0.005,0,0.005,0,0.035,0,0,0.015,0,0,0,0.045,0.005,0,0.005,0.01,0.005,0,0,0,0.005,0
"Lasioglossum_laevissimum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416666666666667,0,0,0,0.005,0,0,0,0
"Lasioglossum_nigroviride",0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0
"Lasioglossum_nymphaearum",0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_obscurum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0
"Lasioglossum_paradmirandum",0,0,0,0,0,0,0.025,0,0,0,0,0.00416666666666667,0,0.42,0,0.00833333333333333,0.015,0,0,0,0,0,0,0
"Lasioglossum_pilosum",0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_smilacinae",0,0,0,0,0,0,0.005,0,0,0,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_subviridatum",0.005,0,0,0.005,0,0.02,0.005,0,0.005,0,0,0,0.005,0,0.01,0.00416666666666667,0,0,0.005,0,0,0,0,0
"Lasioglossum_taylorae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416666666666667,0,0,0,0,0,0,0,0
"Lasioglossum_tegulare",0.005,0.005,0.005,0,0,0,0.01,0,0,0.005,0,0,0,0,0.005,0,0.005,0.01,0,0,0,0,0.005,0
"Lasioglossum_trigeminum",0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.005,0,0.00416666666666667,0,0
"Lasioglossum_versatum",0.04,0,0.01,0.045,0.025,0.055,0.05,0.02,0.015,0.05,0.0375,0.0125,0.005,0.005,0.015,0.0208333333333333,0.04,0.03,0.015,0,0.01,0.0333333333333333,0,0.005
