"syst","site","gen_sp","study","abund","ef"
"Monarda_fistulosa","AMW","Bombus_bimaculatus","genung",0.00325581395348837,0.005
"Monarda_fistulosa","AMW","Bombus_griseocollis","genung",0.00325581395348837,0.005
"Monarda_fistulosa","AMW","Bombus_impatiens","genung",0.0358139534883721,0.055
"Monarda_fistulosa","AMW","Lasioglossum_hitchensi_weemsi","genung",0.00307833537331701,0.005
"Monarda_fistulosa","AMW","Lasioglossum_versatum","genung",0.0082093023255814,0.01
"Monarda_fistulosa","BAR","Bombus_bimaculatus","genung",0.00976744186046511,0.015
"Monarda_fistulosa","BAR","Bombus_fervidus","genung",0.00325581395348837,0.005
"Monarda_fistulosa","BAR","Bombus_griseocollis","genung",0.0293023255813953,0.045
"Monarda_fistulosa","BAR","Bombus_impatiens","genung",0.0520930232558139,0.08
"Monarda_fistulosa","BAR","Halictus_ligatus","genung",0.0082093023255814,0.01
"Monarda_fistulosa","BAR","Heriades_carinata","genung",0.0506149870801033,0.04
"Monarda_fistulosa","BAR","Hylaeus_affinis_modestus","genung",0.0123133414932681,0.02
"Monarda_fistulosa","BAR","Lasioglossum_hitchensi_weemsi","genung",0.00615667074663403,0.01
"Monarda_fistulosa","BAR","Lasioglossum_paradmirandum","genung",0.00615667074663403,0.01
"Monarda_fistulosa","BAR","Lasioglossum_versatum","genung",0.0082093023255814,0.01
"Monarda_fistulosa","BUC","Agapostemon_virescens","genung",0.0139796511627907,0.005
"Monarda_fistulosa","BUC","Bombus_fervidus","genung",0.0195348837209302,0.03
"Monarda_fistulosa","BUC","Bombus_griseocollis","genung",0.00651162790697674,0.01
"Monarda_fistulosa","BUC","Bombus_impatiens","genung",0.0390697674418605,0.06
"Monarda_fistulosa","BUC","Halictus_ligatus","genung",0.0041046511627907,0.005
"Monarda_fistulosa","BUC","Heriades_carinata","genung",0.0126537467700258,0.01
"Monarda_fistulosa","BUC","Hylaeus_mesillae","genung",0.00615667074663403,0.01
"Monarda_fistulosa","BUC","Lasioglossum_atwoodi","genung",0.00307833537331701,0.005
"Monarda_fistulosa","BUC","Lasioglossum_versatum","genung",0.0041046511627907,0.005
"Monarda_fistulosa","BUC","Peponapis_pruinosa","genung",0.0139796511627907,0.005
"Monarda_fistulosa","CAN","Agapostemon_virescens","genung",0.0139796511627907,0.005
"Monarda_fistulosa","CAN","Bombus_bimaculatus","genung",0.00651162790697674,0.01
