"","BUC","CAN","EVE","OLD","FOS","MOU","AMW","BAR","HIL","HOL","HOM","JUN","LAV","LAW","PRK","QUA","ROO","ROY","US2","VAN","ZIO","CEM","WES","CAR"
"Agapostemon_virescens",0.0165734265734266,0.0497202797202797,0.0207167832167832,0.0207167832167832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_wilkella",0,0,0,0,0.0154040404040404,0.0138636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Augochlora_pura",0.0497202797202797,0.0331468531468531,0.662937062937063,0.0828671328671329,0,0.0994405594405594,0.0165734265734266,0.281748251748252,0.0552447552447552,0.0276223776223776,0.0236763236763237,0.290034965034965,0.124300699300699,0.0497202797202797,0.0414335664335664,0.186451048951049,0.0207167832167832,0.116013986013986,0.145017482517483,0.0207167832167832,0.165734265734266,0,0,0
"Augochlorella_aurata",0.0331468531468531,0.0662937062937063,0.145017482517483,0,0.220979020979021,0.0497202797202797,0,0.0497202797202797,0.11048951048951,0.0552447552447552,0,0,0.248601398601399,0.215454545454545,0.0414335664335664,0.455769230769231,0.103583916083916,0.0165734265734266,0.0414335664335664,0.0207167832167832,0.0331468531468531,0.0165734265734266,0.11048951048951,0
"Augochloropsis_metallica",0,0,0.0207167832167832,0,0,0,0,0,0,0,0,0,0.0207167832167832,0,0,0,0.0207167832167832,0,0,0,0,0,0,0
"Bombus_bimaculatus",0.0146511627906977,0.0732558139534884,0.0366279069767442,0.0915697674418605,0.130232558139535,0.175813953488372,0.131860465116279,0.0586046511627907,0.122093023255814,0.122093023255814,0.0837209302325581,0.128197674418605,0.0183139534883721,0.087906976744186,0.0183139534883721,0.0549418604651163,0.311337209302326,0.0146511627906977,0.0183139534883721,0.0732558139534884,0.117209302325581,0.087906976744186,0.122093023255814,0.0244186046511628
"Bombus_fervidus",0.146511627906977,0.0146511627906977,0.0183139534883721,0.0183139534883721,0.0976744186046512,0.0146511627906977,0.0146511627906977,0.0146511627906977,0.0732558139534884,0.0488372093023256,0,0.0366279069767442,0,0.0146511627906977,0.0366279069767442,0.0549418604651163,0,0.0146511627906977,0,0,0.0146511627906977,0,0.0244186046511628,0.0488372093023256
"Bombus_griseocollis",0.043953488372093,0.102558139534884,0.0366279069767442,0.329651162790698,0.0651162790697674,0.263720930232558,0.043953488372093,0.263720930232558,0.268604651162791,0.195348837209302,0.209302325581395,0.293023255813953,0.109883720930233,0.219767441860465,0.0549418604651163,0.146511627906977,0.256395348837209,0.102558139534884,0.366279069767442,0.0915697674418605,0.498139534883721,0.336976744186047,0.463953488372093,0.0854651162790698
"Bombus_impatiens",0.175813953488372,0.293023255813953,0.201453488372093,0.293023255813953,0.113953488372093,0.234418604651163,0.644651162790698,0.293023255813953,0.0976744186046512,0.0244186046511628,0.0837209302325581,1.04389534883721,0.164825581395349,0.131860465116279,0.0549418604651163,0.146511627906977,0.274709302325581,0.336976744186047,0.201453488372093,0.0732558139534884,0.527441860465116,0.175813953488372,0.195348837209302,0.061046511627907
"Bombus_impatiens_seeTN",0,0,0,0,0,0,0,0,0,0.0244186046511628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus_perplexus",0,0,0,0,0,0.0146511627906977,0,0,0,0,0,0,0,0,0.0183139534883721,0,0,0,0,0,0,0,0,0
"Bombus_vagans",0,0,0,0,0,0,0,0,0,0,0,0.0183139534883721,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratina_calcarata",0.1104,1.4352,0.644,0.069,0.194222222222222,0.6992,0.0736,0.2392,0.291333333333333,1.30333333333333,1.51142857142857,0.529,1.656,0.9476,0.828,0.299,0.3795,0.7452,0.4715,1.6905,0.4232,0.0552,0.168666666666667,0.023
"Ceratina_dupla",0.092,0.0368,0.069,0.0345,0.0408888888888889,0.0828,0.0736,0.0552,0.092,0.138,0.184,0.138,0.138,0.1656,0.115,0.069,0.0805,0.0828,0.0805,0.23,0.0368,0,0.0613333333333333,0
"Ceratina_mikmaqi",0.0552,0,0,0,0,0,0.0092,0,0.0306666666666667,0.046,0,0.0115,0.023,0.0092,0.0115,0,0,0.0092,0,0,0.0092,0,0,0.023
"Ceratina_strenua",0.2208,0.2576,0.1265,0.207,0.0408888888888889,0.0276,0.0184,0.0736,0.521333333333333,0.705333333333333,0.289142857142857,0.207,0.0805,0.506,0.2645,0.2185,0.0345,0.046,0.0345,0.9545,0.0092,0.0736,0.122666666666667,0
"Coelioxys_sayi",0,0,0,0,0,0,0,0,0,0,0,0.0173295454545455,0,0,0,0,0,0.0138636363636364,0,0,0,0,0,0
"Colletes_nudus",0,0,0,0,0,0.0138636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus_confusus",0,0.0138636363636364,0.0346590909090909,0.0173295454545455,0.0154040404040404,0,0.0693181818181818,0,0.0231060606060606,0,0,0.0693181818181818,0,0,0,0.0173295454545455,0.207954545454545,0,0.0173295454545455,0,0.0138636363636364,0,0.0231060606060606,0
"Halictus_ligatus",0.110909090909091,0.0415909090909091,0,0,0,0.0277272727272727,0.263409090909091,0.0693181818181818,0.161742424242424,0.0693181818181818,0.0198051948051948,0.103977272727273,0,0.0138636363636364,0,0.0173295454545455,0.121306818181818,0,0.0519886363636364,0,0,0.0831818181818182,0.0924242424242424,0
"Halictus_rubicundus",0,0,0,0,0,0,0,0,0,0,0,0.0173295454545455,0,0,0,0,0,0,0,0,0,0.0138636363636364,0,0
"Heriades_carinata",0.0277272727272727,0.0693181818181818,0.0346590909090909,0.173295454545455,0.107828282828283,0.402045454545455,0,0.194090909090909,0.0462121212121212,0,0.0594155844155844,0.277272727272727,0.103977272727273,0.0554545454545455,0.0173295454545455,0.329261363636364,0,0.0277272727272727,0.207954545454545,0.0173295454545455,0.0554545454545455,0,0.0693181818181818,0
"Heriades_variolosus",0,0.0138636363636364,0,0,0.0154040404040404,0.0831818181818182,0,0.0554545454545455,0,0,0.0396103896103896,0.0519886363636364,0,0,0,0.0519886363636364,0.0346590909090909,0,0,0.0346590909090909,0.0138636363636364,0,0.0231060606060606,0
"Hoplitis_pilosifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138636363636364,0,0,0,0,0,0,0,0,0,0
"Hoplitis_producta",0,0,0,0,0,0.0138636363636364,0,0,0,0,0,0,0,0,0,0,0,0.0138636363636364,0,0,0,0,0,0
"Hylaeus_affinis",0,0,0,0,0,0,0.0167897727272727,0,0,0,0,0,0.0209872159090909,0.0167897727272727,0,0,0,0,0,0.0209872159090909,0,0,0,0
"Hylaeus_affinis_modestus",0,0,0,0.0209872159090909,0,0,0,0.0335795454545455,0,0.0559659090909091,0,0,0.104936079545455,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus_mesillae",0.0503693181818182,0,0,0,0,0,0,0,0,0,0,0,0,0.0335795454545455,0,0.0209872159090909,0,0.0335795454545455,0,0.104936079545455,0.0167897727272727,0.0335795454545455,0,0
"Hylaeus_modestus",0.0167897727272727,0,0.0209872159090909,0,0,0.0167897727272727,0.0335795454545455,0.0335795454545455,0,0.0279829545454545,0,0,0.482705965909091,0,0,0,0,0.100738636363636,0.0209872159090909,0.209872159090909,0,0.0167897727272727,0,0
"Lasioglossum_abanci",0,0,0.0209872159090909,0,0,0,0,0,0,0,0.0239853896103896,0,0,0,0,0,0,0,0,0.0209872159090909,0,0,0,0
"Lasioglossum_atwoodi",0.0167897727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209872159090909,0,0,0,0,0,0,0,0
