"","MOU","CAN","AMW","BAR","CAR","FOS","HIL","HOL","HOM","LAV","LAW","PRK","QUA","ROO","US2","ZIO","BUC","EVE","JUN","ROY","VAN","OLD","WES","CEM"
"Agapostemon_virescens",0.754666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_banski",0,0.706951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_carlini",2.815,1.24191176470588,1.24191176470588,1.50803571428571,1.27954545454545,3.95859375,1.62403846153846,1.11118421052632,3.72573529411765,7.54017857142857,1.11118421052632,1.759375,6.03214285714286,4.96764705882353,1.65653409090909,2.11125,0,0,0,0,0,0,0,0
"Andrena_cressonii",0,2.12085561497326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_erigeniae",0,0,0,0,0,0,0,0,0,0,0,2.0030303030303,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_hippotes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600909090909091,0,0,0,0,0,0,0,0
"Andrena_imitatrix",0,0,0.706951871657754,0,0,0,0,0,0,0,0,1.00151515151515,0,0,0,0,0.858441558441558,0,0,0,0,0,0,0
"Andrena_mandibularis",0,0,0.706951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_miserabilis",0,0,2.12085561497326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_nasonii",0.801212121212121,1.41390374331551,0,0,0,1.50227272727273,0,0,0.706951871657754,1.71688311688312,0.632535885167464,0,1.71688311688312,0.706951871657754,0,0,1.71688311688312,1.00151515151515,2.25340909090909,1.84895104895105,0.801212121212121,0,0,0
"Andrena_pruni",0.801212121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055625,0,0,0,0,0,0,0,0
"Andrena_robertsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0.706951871657754,0,0,0,0,0,0,0,0,0,0
"Andrena_vicina",1.4075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_violae",0,0,0,0,0,0,0.924475524475525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_wilkella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801212121212121,0,0,0
"Augochlora_pura",5.28266666666667,0.665882352941176,0,0.808571428571429,0,0,4.35384615384615,0,1.99764705882353,0.808571428571429,0.595789473684211,10.3766666666667,1.61714285714286,3.32941176470588,1.698,1.132,6.46857142857143,30.1866666666667,2.1225,4.35384615384615,0,0.595789473684211,0.870769230769231,0
"Augochlorella_aurata",6.03733333333333,9.98823529411765,0,2.42571428571429,0,0.7075,6.09538461538462,13.1073684210526,0,3.23428571428571,3.57473684210526,0,7.27714285714286,1.33176470588235,5.66,0.566,0.808571428571429,0.943333333333333,0,0.870769230769231,4.528,0.595789473684211,10.4492307692308,4.35384615384615
"Augochloropsis_metallica",0,0,0,0,0,0,0.870769230769231,0,0,0.808571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0.870769230769231,0
"Bombus_bimaculatus",3.68857142857143,0,3.2546218487395,0,1.67662337662338,1.72901785714286,6.38406593406594,4.36804511278196,1.62731092436975,1.97602040816327,0,0,0,4.88193277310924,1.38321428571429,5.53285714285714,1.97602040816327,2.30535714285714,1.72901785714286,0,0,1.45601503759399,0,0
"Bombus_fervidus",0,0,0,0,1.67662337662338,3.45803571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84428571428571,1.45601503759399,0,2.12802197802198
"Bombus_griseocollis",1.84428571428571,0,0,0,0,0,0,1.45601503759399,3.2546218487395,1.97602040816327,0,0,0,0,0,0,0,0,0,0,0,1.45601503759399,0,2.12802197802198
"Bombus_impatiens",0,1.62731092436975,0,1.97602040816327,0,0,0,0,0,0,0,2.30535714285714,0,0,0,1.38321428571429,0,0,3.45803571428571,0,0,0,0,0
"Bombus_perplexus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38321428571429,0,0,0,0,0,0,0,0
"Bombylius_major",0.349090909090909,0,0,0,0.317355371900826,0.545454545454545,0,0.183732057416268,0.102673796791444,0.374025974025974,0.183732057416268,0.581818181818182,0.124675324675325,0,1.04727272727273,0.436363636363636,0.249350649350649,0,0.327272727272727,0,0,0,0.134265734265734,0
"Ceratina_calcarata",1.365,3.44117647058824,3.61323529411765,0.626785714285714,0.177272727272727,1.4625,2.475,1.07763157894737,0.516176470588235,1.67142857142857,0.923684210526316,0.975,1.67142857142857,1.54852941176471,3.36375,0.585,3.13392857142857,7.3125,0.9140625,1.35,3.705,4.77236842105263,0.225,0.9
"Ceratina_dupla",0,0.172058823529412,0.172058823529412,0.208928571428571,1.06363636363636,0.365625,4.05,0.615789473684211,0.172058823529412,0.835714285714286,2.30921052631579,0,0.835714285714286,0,0.2925,0.2925,3.55178571428571,0.24375,2.3765625,2.25,0.78,0.615789473684211,0.225,0.225
"Ceratina_mikmaqi",0,0,0,0,1.59545454545455,0,1.8,0.769736842105263,0,0.626785714285714,0,0,1.04464285714286,0,4.82625,0,0.835714285714286,0,0.73125,1.35,0,0,0.225,0
"Ceratina_strenua",0,0.516176470588235,0,0.208928571428571,0,1.4625,20.25,0.769736842105263,0,0.835714285714286,2.00131578947368,0.24375,2.08928571428571,0.172058823529412,1.60875,0.2925,5.01428571428571,2.19375,0.9140625,0.9,1.56,1.07763157894737,7.425,0.675
"Colletes_inaequalis",0,0,0,0,0,0,0,0,0,0,0,0,0,2.48382352941176,0,0,0,0,0,0,0,0,0,0
"Halictus_confusus",0,2.31882352941177,0,0.938571428571429,0,0,0,0,1.54588235294118,0,0.691578947368421,0,0.938571428571429,1.54588235294118,0,1.314,0,0,3.285,0,0,0.691578947368421,0,0
"Halictus_ligatus",0,0.772941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus_rubicundus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.772941176470588,0,0,0,0,0,0,0,0,0,0
"Hoplitis_pilosifrons",0,0,0,0,0.796363636363636,0,0,0.691578947368421,0,0,0.691578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoplitis_simplex",0,0,0,0,0,0,0,0,0,0,0,0,0.938571428571429,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus_affinis",0,0,0,0,0,0,0,0,0,0,0,0,0.170408163265306,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus_mesillae",0,0,0,0,0,0,0,0,0,0,0.125563909774436,0,0,0,0,0,0,0,0,0.183516483516484,0,0,0,0.183516483516484
"Hylaeus_modestus_seeTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183516483516484,0,0,0,0
"Lasioglossum_abanci",0,0,1.54588235294118,0,0,0,1.01076923076923,0,0,0.938571428571429,0,5.475,0,1.54588235294118,0,0,0,2.19,0,1.01076923076923,0.876,0.691578947368421,1.01076923076923,0
"Lasioglossum_atwoodi",0,0,0,0,0,0.149107142857143,0,0,0,0,0,0,0,0,0.119285714285714,0,0.681632653061225,0,0,0,0,0,0,0
"Lasioglossum_birkmanni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198809523809524,0,0,0,0,0,0
"Lasioglossum_callidum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183516483516484,0
"Lasioglossum_cattellae",0,0,0,0,0,0,0,0,0.140336134453782,0.340816326530612,0,0,0,0,0,0,0,0,0.149107142857143,0,0.159047619047619,0.125563909774436,0,0
"Lasioglossum_coriaceum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159047619047619,0,0,0
"Lasioglossum_cressonii",0.159047619047619,0,0.140336134453782,0,0,0,0.183516483516484,0,0,0,0,0,0.511224489795918,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_foxii",0.477142857142857,0.140336134453782,0.140336134453782,0,0,0.149107142857143,0.183516483516484,0,0,0.170408163265306,0,0.198809523809524,0.340816326530612,0.421008403361345,0.954285714285714,0.715714285714286,0.681632653061225,0.198809523809524,1.64017857142857,0,0.159047619047619,0,0,0.183516483516484
"Lasioglossum_hitchensi",0,0.421008403361345,0,0,0,0,0.183516483516484,0.251127819548872,0,0.170408163265306,0,0,0.170408163265306,0,0,0.238571428571429,0,0,0,0,0,0,0,0
"Lasioglossum_illinoense",0,0,0.280672268907563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_imitatum",0,0,0,0,0,0,0,0.125563909774436,0.280672268907563,0,0,0,0.852040816326531,0,0,0,0,0,0.298214285714286,0,0.159047619047619,0,0,0.917582417582418
