"","CAN","CEM","FOS","LAV","LAW","OLD","QUA","ROO","ROY","WES","ZIO","HIL","HOL","JUN","MOU","AMW","BAR","BUC","EVE","PRK","US2","CAR","HOM","VAN"
"Agapostemon_virescens",0.0189013452914798,0.0189013452914798,0.0189013452914798,0.0189013452914798,0.0378026905829596,0.0378026905829596,0.0189013452914798,0.0567040358744395,0.0567040358744395,0.0567040358744395,0.0157511210762332,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_cressonii",0,0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_imitatrix",0,0,0,0,0,0,0,0,0,0,0,0.0058982683982684,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_wilkella",0.00707792207792208,0,0,0.00707792207792208,0,0.00707792207792208,0,0,0,0,0,0,0.00707792207792208,0.00707792207792208,0.0566233766233766,0,0,0,0,0,0,0,0,0
"Augochlora_pura",0,0.0189013452914798,0,0.0189013452914798,0.0378026905829596,0,0.0189013452914798,0,0,0.0189013452914798,0,0,0.0189013452914798,0.0189013452914798,0.0189013452914798,0.0472533632286996,0.0378026905829596,0.0378026905829596,0.0756053811659193,0.0378026905829596,0.0189013452914798,0,0,0
"Augochlorella_aurata",0,0.0378026905829596,0.0567040358744395,0.0378026905829596,0.0189013452914798,0,0.0756053811659193,0.0756053811659193,0,0.0189013452914798,0,0,0,0.0189013452914798,0.0378026905829596,0.0787556053811659,0,0,0.0189013452914798,0.0189013452914798,0.0189013452914798,0,0,0
"Augochloropsis_metallica",0,0,0,0.0189013452914798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus_bimaculatus",0.141350114416476,0.141350114416476,0.282700228832952,0.259141876430206,0.212025171624714,0.141350114416476,0.11779176201373,0.777425629290618,0,0.164908466819222,0.0981598016781083,0.058895881006865,0.023558352402746,0.23558352402746,0.047116704805492,0.0981598016781083,0.047116704805492,0.188466819221968,0,0.35337528604119,0.070675057208238,0.058895881006865,0.047116704805492,0.047116704805492
"Bombus_fervidus",0,0,0,0,0,0,0,0.023558352402746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus_griseocollis",0.070675057208238,0,0.070675057208238,0.070675057208238,0.141350114416476,0.047116704805492,0,0.094233409610984,0.070675057208238,0.023558352402746,0.058895881006865,0.0392639206712433,0.047116704805492,0.11779176201373,0.023558352402746,0.0196319603356217,0.376933638443936,0.023558352402746,0.047116704805492,0,0.047116704805492,0,0,0.023558352402746
