"syst","gen_sp","site","abund","ef","study"
"PA","Adenanthera_malayana","VG-PSH-1",3,378.548210442464,"TEAM"
"PA","Adenanthera_malayana","VG-PSH-2",1,110.483628573728,"TEAM"
"PA","Aglaia_argentea","VG-PSH-3",2,246.53442265764,"TEAM"
"PA","Aglaia_edulis","VG-PSH-2",1,188.144154380198,"TEAM"
"PA","Aglaia_eximia","VG-PSH-3",6,4222.15856628712,"TEAM"
"PA","Aglaia_forbesii","VG-PSH-1",1,31.8932730563386,"TEAM"
"PA","Aglaia_forbesii","VG-PSH-2",2,173.595133147772,"TEAM"
"PA","Aglaia_lawii","VG-PSH-3",1,31.8932730563386,"TEAM"
"PA","Aglaia_leptantha","VG-PSH-2",1,199.290097614082,"TEAM"
"PA","Aglaia_leptantha","VG-PSH-4",2,99.6244584640684,"TEAM"
"PA","Aglaia_leucophylla","VG-PSH-4",1,124.016279912059,"TEAM"
"PA","Aglaia_macrocarpa","VG-PSH-4",1,38.9601132323111,"TEAM"
"PA","Aglaia_macrocarpa","VG-PSH-5",1,235.070312499283,"TEAM"
"PA","Aglaia_oligophylla","VG-PSH-1",1,26.9933313385014,"TEAM"
"PA","Aglaia_sexipetala","VG-PSH-3",2,1183.86964985271,"TEAM"
"PA","Aglaia_sexipetala","VG-PSH-5",1,666.741950593373,"TEAM"
"PA","Aglaia_speciosa","VG-PSH-5",2,216.011350521676,"TEAM"
"PA","Aglaia_spectabilis","VG-PSH-3",4,2919.42460527798,"TEAM"
"PA","Aglaia_spectabilis","VG-PSH-4",2,142.14743271183,"TEAM"
"PA","Aglaia_tenuicaulis","VG-PSH-6",1,54.7964994691293,"TEAM"
"PA","Aidia_densiflora","VG-PSH-1",4,130.386159488348,"TEAM"
"PA","Aidia_densiflora","VG-PSH-4",4,318.472524054468,"TEAM"
"PA","Aidia_densiflora","VG-PSH-5",1,53.5958620406785,"TEAM"
"PA","Aidia_densiflora","VG-PSH-6",5,544.060450837785,"TEAM"
"PA","Alangium_griffithii","VG-PSH-2",4,293.172241516332,"TEAM"
"PA","Alangium_griffithii","VG-PSH-3",1,38.0657048868811,"TEAM"
"PA","Alangium_ridleyi","VG-PSH-2",3,341.972248597187,"TEAM"
"PA","Alangium_ridleyi","VG-PSH-3",5,1963.32972280864,"TEAM"
"PA","Alangium_ridleyi","VG-PSH-5",1,27.8396928341371,"TEAM"
"PA","Alangium_ridleyi","VG-PSH-6",1,65.9506854153287,"TEAM"
"PA","Alphonsea_elliptica","VG-PSH-1",1,122.363358211132,"TEAM"
"PA","Alphonsea_elliptica","VG-PSH-2",1,187.014775090971,"TEAM"
"PA","Alphonsea_kingii","VG-PSH-4",1,82.9800572971242,"TEAM"
"PA","Alphonsea_maingayi","VG-PSH-1",2,69.2217945042788,"TEAM"
"PA","Alseodaphne_intermedia","VG-PSH-2",1,48.5524970244061,"TEAM"
"PA","Alseodaphne_ridleyi","VG-PSH-4",1,24.0548667038224,"TEAM"
"PA","Alseodaphne_unknown","VG-PSH-4",4,784.203900133107,"TEAM"
"PA","Alstonia_angustiloba","VG-PSH-1",1,196.241078595193,"TEAM"
"PA","Anaxagorea_javanica","VG-PSH-2",1,46.6001977866044,"TEAM"
"PA","Anaxagorea_javanica","VG-PSH-3",4,13401.6826985425,"TEAM"
"PA","Anisophyllea_corneri","VG-PSH-2",3,772.478720350201,"TEAM"
"PA","Anisoptera_curtisii","VG-PSH-4",1,980.613523397953,"TEAM"
"PA","Anisoptera_curtisii","VG-PSH-5",2,1028.38375226644,"TEAM"
"PA","Anisoptera_laevis","VG-PSH-4",2,191.018096650374,"TEAM"
"PA","Antidesma_coriaceum","VG-PSH-5",2,76.8432428062948,"TEAM"
"PA","Antidesma_cuspidatum","VG-PSH-4",3,143.162767830404,"TEAM"
"PA","Antidesma_cuspidatum","VG-PSH-5",2,169.972334558718,"TEAM"
"PA","Antidesma_cuspidatum","VG-PSH-6",1,59.238598537873,"TEAM"
"PA","Aphanamixis_polystachya","VG-PSH-4",1,27.2678923978344,"TEAM"
"PA","Aporosa_arborea","VG-PSH-5",2,404.592652471013,"TEAM"
"PA","Aporosa_arborea","VG-PSH-6",1,26.8761195323943,"TEAM"
"PA","Aporosa_aurea","VG-PSH-1",1,28.5029875257314,"TEAM"
"PA","Aporosa_benthamiana","VG-PSH-2",2,87.8761286198465,"TEAM"
"PA","Aporosa_benthamiana","VG-PSH-4",1,12.6848965429707,"TEAM"
"PA","Aporosa_microstachya","VG-PSH-1",1,62.23609574165,"TEAM"
"PA","Aporosa_miqueliana","VG-PSH-4",1,19.1739677021425,"TEAM"
"PA","Aporosa_miqueliana","VG-PSH-5",4,235.572729448254,"TEAM"
"PA","Aporosa_nervosa","VG-PSH-1",1,20.496224830638,"TEAM"
"PA","Aporosa_nervosa","VG-PSH-2",2,43.1211676234417,"TEAM"
"PA","Aporosa_nervosa","VG-PSH-5",3,138.138464083963,"TEAM"
"PA","Aporosa_nigricans","VG-PSH-1",1,12.6848965429707,"TEAM"
"PA","Aporosa_nigricans","VG-PSH-4",1,33.7443935299821,"TEAM"
"PA","Aporosa_prainiana","VG-PSH-2",1,46.6615998206169,"TEAM"
"PA","Aporosa_prainiana","VG-PSH-4",3,224.319259641161,"TEAM"
"PA","Aporosa_prainiana","VG-PSH-5",2,58.4376807879742,"TEAM"
"PA","Aquilaria_malaccensis","VG-PSH-1",6,830.292031732749,"TEAM"
"PA","Archidendron_bubalinum","VG-PSH-1",6,394.039297720401,"TEAM"
"PA","Archidendron_bubalinum","VG-PSH-4",2,175.951330388626,"TEAM"
"PA","Archidendron_bubalinum","VG-PSH-6",1,50.4302915268576,"TEAM"
"PA","Archidendron_clypearia","VG-PSH-2",1,180.724243822817,"TEAM"
"PA","Archidendron_clypearia","VG-PSH-4",1,218.268136781586,"TEAM"
"PA","Artocarpus_dadah","VG-PSH-5",2,2019.623842456,"TEAM"
"PA","Artocarpus_elasticus","VG-PSH-1",1,41.7570415947767,"TEAM"
"PA","Artocarpus_elasticus","VG-PSH-2",1,220.099030358604,"TEAM"
